filename,Predicted_Label,Confidence_Score
104398.jpg,Irregular,0.697
104460.jpg,Irregular,0.558
104540.jpg,Elliptical,0.8706
104608.jpg,Spiral,0.4734
104610.jpg,Irregular,0.676
104624.jpg,Irregular,0.4885
104709.jpg,Elliptical,0.999
104721.jpg,Spiral,0.779
104723.jpg,Irregular,0.7856
104751.jpg,Spiral,0.602
104769.jpg,Elliptical,0.9927
104788.jpg,Elliptical,0.935
104819.jpg,Irregular,0.4084
104830.jpg,Irregular,0.5747
104920.jpg,Elliptical,0.6504
104929.jpg,Spiral,0.589
104962.jpg,Irregular,0.783
104991.jpg,Elliptical,0.9976
105056.jpg,Elliptical,0.979
105070.jpg,Spiral,0.731
105082.jpg,Elliptical,0.985
105117.jpg,Spiral,0.848
105201.jpg,Elliptical,0.85
105216.jpg,Elliptical,0.994
105221.jpg,Elliptical,0.945
105257.jpg,Elliptical,0.989
105279.jpg,Elliptical,0.9966
105331.jpg,Irregular,0.5723
105334.jpg,Elliptical,0.557
105364.jpg,Elliptical,0.9844
105381.jpg,Elliptical,0.843
105513.jpg,Irregular,0.583
105529.jpg,Elliptical,0.573
105541.jpg,Elliptical,0.9443
105576.jpg,Elliptical,0.799
105581.jpg,Elliptical,0.9985
105613.jpg,Spiral,0.893
105653.jpg,Elliptical,0.9463
105743.jpg,Irregular,0.7383
105758.jpg,Irregular,0.5986
105762.jpg,Elliptical,0.924
105764.jpg,Irregular,0.5557
105787.jpg,Elliptical,0.997
105846.jpg,Elliptical,0.755
105879.jpg,Elliptical,0.8657
105881.jpg,Spiral,0.9126
105902.jpg,Spiral,0.5713
105940.jpg,Irregular,0.689
105973.jpg,Irregular,0.7866
105983.jpg,Elliptical,0.6436
105984.jpg,Elliptical,0.9385
105986.jpg,Spiral,0.818
106039.jpg,Spiral,0.9487
106059.jpg,Elliptical,0.899
106105.jpg,Elliptical,0.952
106124.jpg,Elliptical,0.8926
106147.jpg,Elliptical,0.4395
106165.jpg,Irregular,0.4014
106176.jpg,Irregular,0.541
106199.jpg,Irregular,0.538
106205.jpg,Elliptical,0.7456
106275.jpg,Spiral,0.868
106298.jpg,Irregular,0.8496
106409.jpg,Spiral,0.7363
106429.jpg,Irregular,0.652
106432.jpg,Irregular,0.8857
106499.jpg,Elliptical,0.8193
106514.jpg,Elliptical,0.654
106544.jpg,Spiral,0.9385
106612.jpg,Spiral,0.8364
106646.jpg,Elliptical,0.9434
106670.jpg,Spiral,0.784
106705.jpg,Elliptical,0.8604
106739.jpg,Irregular,0.777
106788.jpg,Irregular,0.671
106803.jpg,Elliptical,0.5938
106819.jpg,Elliptical,0.6875
106829.jpg,Irregular,0.612
106882.jpg,Elliptical,0.3523
106885.jpg,Elliptical,0.881
106886.jpg,Spiral,0.479
106931.jpg,Spiral,0.559
106944.jpg,Spiral,0.852
106973.jpg,Elliptical,0.9663
106986.jpg,Irregular,0.7666
107019.jpg,Spiral,0.91
107055.jpg,Elliptical,0.813
107064.jpg,Irregular,0.7007
107106.jpg,Elliptical,0.976
107117.jpg,Irregular,0.7593
107197.jpg,Irregular,0.7383
107231.jpg,Irregular,0.6934
107268.jpg,Irregular,0.4539
107290.jpg,Elliptical,0.9976
107314.jpg,Irregular,0.6333
107406.jpg,Spiral,0.6914
107422.jpg,Spiral,0.4346
107454.jpg,Irregular,0.5527
107466.jpg,Irregular,0.6836
107510.jpg,Elliptical,0.851
107527.jpg,Elliptical,0.989
107559.jpg,Elliptical,0.5483
107560.jpg,Irregular,0.531
107562.jpg,Spiral,0.3955
107563.jpg,Elliptical,0.5044
107583.jpg,Irregular,0.772
107597.jpg,Irregular,0.7407
107608.jpg,Elliptical,0.9976
107613.jpg,Irregular,0.7295
107616.jpg,Spiral,0.8315
107631.jpg,Spiral,0.6323
107660.jpg,Elliptical,0.6196
107688.jpg,Elliptical,0.9946
107720.jpg,Irregular,0.7153
107736.jpg,Elliptical,0.994
107794.jpg,Elliptical,0.8735
107810.jpg,Irregular,0.616
107823.jpg,Spiral,0.4285
107831.jpg,Elliptical,0.968
107943.jpg,Irregular,0.496
107946.jpg,Irregular,0.9023
107954.jpg,Spiral,0.5435
107966.jpg,Elliptical,0.972
107987.jpg,Spiral,0.7534
108017.jpg,Irregular,0.5312
108041.jpg,Irregular,0.609
108051.jpg,Spiral,0.4043
108088.jpg,Elliptical,0.791
108105.jpg,Elliptical,0.518
108111.jpg,Elliptical,0.9946
108225.jpg,Elliptical,0.879
108326.jpg,Irregular,0.721
108497.jpg,Elliptical,0.995
108507.jpg,Elliptical,0.4941
108545.jpg,Spiral,0.488
108601.jpg,Elliptical,0.6094
108642.jpg,Elliptical,0.6084
108649.jpg,Spiral,0.7954
108917.jpg,Elliptical,0.9644
108947.jpg,Elliptical,0.951
108952.jpg,Elliptical,0.9395
108979.jpg,Irregular,0.9297
108985.jpg,Elliptical,0.967
109083.jpg,Elliptical,0.9746
109096.jpg,Spiral,0.534
109112.jpg,Spiral,0.651
109124.jpg,Spiral,0.7646
109135.jpg,Elliptical,0.6
109255.jpg,Elliptical,0.986
109330.jpg,Elliptical,0.571
109333.jpg,Irregular,0.8076
109360.jpg,Elliptical,0.9814
109361.jpg,Spiral,0.886
109414.jpg,Elliptical,0.49
109422.jpg,Irregular,0.677
109449.jpg,Irregular,0.619
109529.jpg,Elliptical,0.918
109629.jpg,Irregular,0.4502
109630.jpg,Elliptical,0.9287
109682.jpg,Elliptical,0.976
109699.jpg,Elliptical,0.908
109715.jpg,Spiral,0.6924
109718.jpg,Irregular,0.665
109772.jpg,Irregular,0.628
109827.jpg,Elliptical,0.881
109885.jpg,Elliptical,0.9937
109888.jpg,Elliptical,0.992
110034.jpg,Spiral,0.6094
110063.jpg,Spiral,0.764
110076.jpg,Elliptical,0.99
110118.jpg,Elliptical,0.9688
110129.jpg,Elliptical,0.9585
110149.jpg,Elliptical,0.3618
110250.jpg,Irregular,0.6943
110348.jpg,Elliptical,0.5913
110349.jpg,Elliptical,0.691
110429.jpg,Elliptical,0.5293
110466.jpg,Irregular,0.8833
110521.jpg,Irregular,0.6665
110566.jpg,Spiral,0.858
110596.jpg,Spiral,0.8193
110619.jpg,Spiral,0.89
110678.jpg,Elliptical,0.9644
110695.jpg,Spiral,0.9434
110707.jpg,Elliptical,0.9834
110746.jpg,Elliptical,0.942
110808.jpg,Irregular,0.954
110923.jpg,Elliptical,0.998
111022.jpg,Spiral,0.7583
111121.jpg,Spiral,0.6567
111123.jpg,Spiral,0.8276
111125.jpg,Irregular,0.6885
111149.jpg,Elliptical,0.699
111175.jpg,Elliptical,0.997
111182.jpg,Irregular,0.629
111245.jpg,Elliptical,0.9526
111259.jpg,Elliptical,0.9727
111266.jpg,Elliptical,0.452
111286.jpg,Spiral,0.7095
111298.jpg,Elliptical,0.921
111302.jpg,Elliptical,0.865
111417.jpg,Elliptical,0.9966
111484.jpg,Irregular,0.86
111552.jpg,Spiral,0.539
111553.jpg,Irregular,0.5195
111667.jpg,Elliptical,0.5654
111715.jpg,Spiral,0.655
111716.jpg,Spiral,0.5415
111743.jpg,Elliptical,0.9653
111770.jpg,Irregular,0.979
111775.jpg,Spiral,0.5244
111791.jpg,Spiral,0.4512
111804.jpg,Elliptical,0.9995
111834.jpg,Irregular,0.6846
111839.jpg,Spiral,0.6104
111858.jpg,Irregular,0.7188
111879.jpg,Elliptical,0.4155
111910.jpg,Elliptical,0.9536
111924.jpg,Elliptical,0.999
111937.jpg,Elliptical,0.924
111979.jpg,Irregular,0.5933
111980.jpg,Elliptical,0.9854
112016.jpg,Elliptical,0.7324
112017.jpg,Spiral,0.55
112034.jpg,Irregular,0.6265
112122.jpg,Spiral,0.498
112148.jpg,Irregular,0.647
112188.jpg,Spiral,0.4607
112245.jpg,Irregular,0.538
112259.jpg,Irregular,0.5327
112263.jpg,Irregular,0.802
112282.jpg,Elliptical,0.994
112345.jpg,Irregular,0.607
112438.jpg,Irregular,0.7827
112527.jpg,Elliptical,0.465
112538.jpg,Spiral,0.422
112574.jpg,Irregular,0.578
112586.jpg,Irregular,0.6147
112627.jpg,Elliptical,0.4644
112665.jpg,Elliptical,0.915
112674.jpg,Elliptical,0.925
112698.jpg,Spiral,0.3955
112700.jpg,Spiral,0.5356
112726.jpg,Spiral,0.701
112824.jpg,Irregular,0.554
112835.jpg,Spiral,0.852
112843.jpg,Elliptical,0.7144
112873.jpg,Spiral,0.438
112988.jpg,Irregular,0.588
113072.jpg,Elliptical,0.994
113102.jpg,Elliptical,0.999
113168.jpg,Irregular,0.841
113196.jpg,Spiral,0.656
113267.jpg,Elliptical,0.992
113271.jpg,Spiral,0.701
113305.jpg,Elliptical,0.9775
113317.jpg,Spiral,0.763
113402.jpg,Spiral,0.76
113436.jpg,Irregular,0.767
113470.jpg,Irregular,0.596
113475.jpg,Elliptical,0.889
113477.jpg,Spiral,0.7314
113509.jpg,Elliptical,0.9683
113510.jpg,Irregular,0.463
113512.jpg,Irregular,0.396
113539.jpg,Spiral,0.731
113553.jpg,Elliptical,0.8716
113556.jpg,Elliptical,0.5186
113567.jpg,Spiral,0.9478
113609.jpg,Spiral,0.568
113617.jpg,Elliptical,0.5864
113622.jpg,Spiral,0.4883
113641.jpg,Elliptical,0.876
113672.jpg,Spiral,0.811
113692.jpg,Spiral,0.5854
113823.jpg,Elliptical,0.926
113858.jpg,Irregular,0.941
113940.jpg,Spiral,0.9624
113944.jpg,Irregular,0.692
113951.jpg,Spiral,0.48
113975.jpg,Elliptical,0.7734
114000.jpg,Spiral,0.5317
114026.jpg,Elliptical,0.4573
114029.jpg,Elliptical,0.802
114046.jpg,Spiral,0.714
114059.jpg,Elliptical,0.3918
114117.jpg,Elliptical,0.949
114207.jpg,Elliptical,0.8647
114236.jpg,Irregular,0.717
114271.jpg,Elliptical,0.7812
114289.jpg,Elliptical,0.5474
114305.jpg,Elliptical,0.71
114329.jpg,Spiral,0.863
114337.jpg,Elliptical,0.9995
114435.jpg,Irregular,0.9565
114462.jpg,Elliptical,0.938
114464.jpg,Elliptical,0.5635
114570.jpg,Elliptical,0.9775
114586.jpg,Spiral,0.6865
114600.jpg,Elliptical,0.996
114620.jpg,Spiral,0.9404
114642.jpg,Irregular,0.8003
114654.jpg,Elliptical,0.99
114896.jpg,Spiral,0.898
114898.jpg,Spiral,0.7207
115031.jpg,Elliptical,0.974
115033.jpg,Spiral,0.4785
115073.jpg,Elliptical,0.9854
115102.jpg,Spiral,0.8223
115106.jpg,Irregular,0.4268
115114.jpg,Irregular,0.6113
115126.jpg,Spiral,0.5996
115163.jpg,Spiral,0.729
115191.jpg,Irregular,0.9194
115272.jpg,Spiral,0.5317
115275.jpg,Elliptical,0.9814
115304.jpg,Spiral,0.3853
115339.jpg,Elliptical,0.959
115368.jpg,Elliptical,0.808
115389.jpg,Spiral,0.7676
115390.jpg,Spiral,0.8613
115426.jpg,Elliptical,0.999
115430.jpg,Irregular,0.855
115525.jpg,Irregular,0.5747
115526.jpg,Elliptical,0.975
115541.jpg,Irregular,0.8457
115560.jpg,Spiral,0.5073
115662.jpg,Elliptical,0.98
115718.jpg,Elliptical,0.4978
115736.jpg,Elliptical,0.945
115753.jpg,Elliptical,0.936
115766.jpg,Spiral,0.85
115818.jpg,Elliptical,0.8633
115838.jpg,Elliptical,0.9976
115840.jpg,Spiral,0.822
115870.jpg,Irregular,0.5435
115918.jpg,Elliptical,0.838
115953.jpg,Elliptical,0.632
116011.jpg,Irregular,0.3928
116044.jpg,Spiral,0.422
116061.jpg,Spiral,0.737
116064.jpg,Irregular,0.959
116195.jpg,Elliptical,0.4915
116201.jpg,Irregular,0.8706
116239.jpg,Irregular,0.6772
116265.jpg,Elliptical,0.944
116386.jpg,Elliptical,0.9736
116417.jpg,Elliptical,0.9966
116429.jpg,Spiral,0.7856
116455.jpg,Irregular,0.399
116518.jpg,Elliptical,0.4575
116551.jpg,Elliptical,0.997
116557.jpg,Spiral,0.582
116596.jpg,Spiral,0.559
116667.jpg,Irregular,0.7715
116692.jpg,Spiral,0.9
116695.jpg,Elliptical,0.4873
116724.jpg,Elliptical,0.694
116751.jpg,Elliptical,0.9365
116817.jpg,Irregular,0.576
116832.jpg,Spiral,0.4546
116857.jpg,Spiral,0.461
116873.jpg,Elliptical,0.9795
116946.jpg,Irregular,0.536
116958.jpg,Elliptical,0.9927
116964.jpg,Elliptical,0.4924
116979.jpg,Irregular,0.5894
117017.jpg,Elliptical,0.7563
117068.jpg,Irregular,0.5156
117104.jpg,Elliptical,0.9277
117135.jpg,Elliptical,0.9243
117177.jpg,Spiral,0.5103
117192.jpg,Elliptical,0.993
117205.jpg,Spiral,0.7505
117217.jpg,Elliptical,0.9917
117228.jpg,Elliptical,0.9966
117240.jpg,Irregular,0.542
117265.jpg,Irregular,0.594
117267.jpg,Elliptical,0.772
117268.jpg,Irregular,0.917
117319.jpg,Irregular,0.61
117361.jpg,Irregular,0.636
117413.jpg,Elliptical,0.9175
117424.jpg,Elliptical,0.8643
117492.jpg,Irregular,0.8413
117520.jpg,Irregular,0.7217
117541.jpg,Spiral,0.4941
117576.jpg,Elliptical,0.8325
117597.jpg,Spiral,0.492
117598.jpg,Irregular,0.54
117621.jpg,Elliptical,0.9956
117623.jpg,Elliptical,0.9966
117647.jpg,Spiral,0.525
117730.jpg,Spiral,0.526
117743.jpg,Irregular,0.6475
117858.jpg,Spiral,0.512
117895.jpg,Spiral,0.4536
117908.jpg,Elliptical,0.998
117909.jpg,Spiral,0.8657
117929.jpg,Irregular,0.774
117934.jpg,Elliptical,0.8564
117996.jpg,Spiral,0.667
118013.jpg,Irregular,0.7896
118048.jpg,Spiral,0.514
118085.jpg,Spiral,0.8726
118140.jpg,Irregular,0.7173
118161.jpg,Elliptical,0.9985
118184.jpg,Irregular,0.624
118188.jpg,Irregular,0.669
118223.jpg,Elliptical,0.9775
118337.jpg,Elliptical,0.8423
118382.jpg,Irregular,0.4949
118409.jpg,Irregular,0.5376
118599.jpg,Irregular,0.4143
118644.jpg,Irregular,0.6406
118650.jpg,Irregular,0.752
118700.jpg,Elliptical,0.5596
118714.jpg,Irregular,0.6943
118777.jpg,Spiral,0.7236
118811.jpg,Elliptical,0.9907
118831.jpg,Elliptical,0.9976
118856.jpg,Spiral,0.699
118868.jpg,Irregular,0.635
118893.jpg,Elliptical,0.7373
118941.jpg,Elliptical,0.9917
118971.jpg,Elliptical,0.982
119037.jpg,Irregular,0.667
119061.jpg,Elliptical,0.9995
119074.jpg,Spiral,0.5845
119229.jpg,Irregular,0.5337
119249.jpg,Irregular,0.6797
119250.jpg,Spiral,0.7935
119358.jpg,Spiral,0.379
119366.jpg,Spiral,0.7207
119373.jpg,Elliptical,0.9946
119383.jpg,Irregular,0.7583
119397.jpg,Irregular,0.4878
119417.jpg,Elliptical,0.9956
119425.jpg,Elliptical,0.703
119454.jpg,Irregular,0.9126
119471.jpg,Spiral,0.8447
119498.jpg,Irregular,0.795
119501.jpg,Spiral,0.522
119554.jpg,Elliptical,0.9634
119579.jpg,Spiral,0.709
119675.jpg,Elliptical,0.521
119691.jpg,Irregular,0.6904
119695.jpg,Irregular,0.7725
119699.jpg,Elliptical,0.5615
119719.jpg,Spiral,0.5435
119729.jpg,Spiral,0.639
119743.jpg,Spiral,0.961
119774.jpg,Elliptical,0.998
119831.jpg,Irregular,0.9175
119876.jpg,Elliptical,0.994
119910.jpg,Irregular,0.4226
119967.jpg,Irregular,0.6934
120027.jpg,Elliptical,0.984
120051.jpg,Spiral,0.838
120084.jpg,Irregular,0.4104
120112.jpg,Elliptical,0.9956
120127.jpg,Spiral,0.601
120179.jpg,Spiral,0.962
120187.jpg,Spiral,0.607
120191.jpg,Spiral,0.941
120193.jpg,Spiral,0.6846
120214.jpg,Elliptical,0.9995
120219.jpg,Irregular,0.4688
120223.jpg,Elliptical,0.9766
120231.jpg,Elliptical,0.4167
120258.jpg,Elliptical,0.9985
120259.jpg,Irregular,0.4526
120260.jpg,Irregular,0.9272
120333.jpg,Spiral,0.594
120354.jpg,Irregular,0.606
120387.jpg,Elliptical,1.0
120426.jpg,Elliptical,0.997
120586.jpg,Irregular,0.677
120629.jpg,Irregular,0.4504
120659.jpg,Elliptical,0.997
120697.jpg,Elliptical,0.9946
120776.jpg,Elliptical,0.778
120847.jpg,Elliptical,0.4905
120858.jpg,Elliptical,0.8433
120868.jpg,Irregular,0.5376
120915.jpg,Elliptical,0.793
120923.jpg,Elliptical,0.9653
120925.jpg,Irregular,0.4885
121008.jpg,Elliptical,0.9707
121031.jpg,Spiral,0.9004
121067.jpg,Spiral,0.834
121088.jpg,Elliptical,0.976
121128.jpg,Irregular,0.6577
121133.jpg,Irregular,0.542
121147.jpg,Irregular,0.6743
121167.jpg,Spiral,0.476
121184.jpg,Elliptical,0.704
121196.jpg,Irregular,0.791
121257.jpg,Spiral,0.4692
121267.jpg,Elliptical,0.9575
121272.jpg,Spiral,0.8535
121276.jpg,Spiral,0.5933
121371.jpg,Irregular,0.6924
121378.jpg,Irregular,0.8433
121438.jpg,Spiral,0.7217
121527.jpg,Irregular,0.5337
121538.jpg,Spiral,0.5376
121552.jpg,Spiral,0.8594
121567.jpg,Elliptical,0.7827
121637.jpg,Spiral,0.57
121694.jpg,Elliptical,0.997
121713.jpg,Elliptical,0.9517
121831.jpg,Elliptical,0.9766
121835.jpg,Elliptical,0.998
121875.jpg,Elliptical,0.995
121916.jpg,Irregular,0.7793
121944.jpg,Elliptical,0.532
122052.jpg,Elliptical,0.5576
122068.jpg,Spiral,0.8584
122099.jpg,Irregular,0.7134
122152.jpg,Irregular,0.8115
122214.jpg,Irregular,0.761
122225.jpg,Elliptical,0.9136
122245.jpg,Irregular,0.4512
122294.jpg,Irregular,0.5767
122295.jpg,Irregular,0.883
122296.jpg,Irregular,0.639
122402.jpg,Irregular,0.8467
122415.jpg,Irregular,0.589
122479.jpg,Spiral,0.6934
122525.jpg,Spiral,0.4746
122527.jpg,Elliptical,0.592
122566.jpg,Spiral,0.4917
122601.jpg,Elliptical,0.916
122694.jpg,Elliptical,0.9956
122832.jpg,Irregular,0.8525
122907.jpg,Elliptical,0.9897
122909.jpg,Elliptical,0.973
122946.jpg,Elliptical,0.9976
122960.jpg,Irregular,0.822
122965.jpg,Elliptical,0.6313
123039.jpg,Irregular,0.5796
123173.jpg,Spiral,0.753
123199.jpg,Irregular,0.602
123200.jpg,Spiral,0.7217
123203.jpg,Irregular,0.615
123204.jpg,Elliptical,0.996
123205.jpg,Irregular,0.5073
123294.jpg,Elliptical,0.999
123310.jpg,Irregular,0.5566
123337.jpg,Spiral,0.855
123381.jpg,Spiral,0.4114
123382.jpg,Elliptical,0.898
123411.jpg,Spiral,0.625
123416.jpg,Elliptical,0.5244
123420.jpg,Elliptical,0.923
123475.jpg,Irregular,0.739
123498.jpg,Spiral,0.548
123564.jpg,Elliptical,0.9844
123582.jpg,Elliptical,0.577
123647.jpg,Irregular,0.6055
123648.jpg,Elliptical,0.501
123670.jpg,Irregular,0.8003
123678.jpg,Irregular,0.571
123692.jpg,Irregular,0.5654
123750.jpg,Spiral,0.503
123772.jpg,Elliptical,0.4668
123792.jpg,Elliptical,0.995
123810.jpg,Irregular,0.4526
123878.jpg,Irregular,0.6016
123897.jpg,Spiral,0.65
123933.jpg,Elliptical,0.888
124022.jpg,Irregular,0.7944
124070.jpg,Irregular,0.4004
124079.jpg,Irregular,0.564
124206.jpg,Irregular,0.6694
124208.jpg,Elliptical,0.943
124299.jpg,Irregular,0.6694
124307.jpg,Irregular,0.7544
124315.jpg,Elliptical,0.9463
124337.jpg,Spiral,0.7075
124425.jpg,Irregular,0.7427
124455.jpg,Spiral,0.674
124472.jpg,Elliptical,0.9834
124477.jpg,Elliptical,0.6655
124516.jpg,Irregular,0.642
124519.jpg,Irregular,0.665
124549.jpg,Spiral,0.9053
124625.jpg,Irregular,0.3867
124641.jpg,Irregular,0.633
124649.jpg,Elliptical,0.9907
124650.jpg,Elliptical,0.8774
124694.jpg,Spiral,0.4507
124714.jpg,Spiral,0.643
124723.jpg,Elliptical,0.8633
124770.jpg,Elliptical,0.9175
124824.jpg,Spiral,0.947
124877.jpg,Elliptical,0.7764
124908.jpg,Elliptical,0.9404
124943.jpg,Elliptical,0.9844
124970.jpg,Irregular,0.9355
124981.jpg,Spiral,0.913
124991.jpg,Elliptical,0.9937
125118.jpg,Elliptical,0.961
125123.jpg,Elliptical,0.906
125327.jpg,Elliptical,0.8975
125352.jpg,Spiral,0.7266
125422.jpg,Elliptical,0.831
125475.jpg,Spiral,0.7876
125537.jpg,Elliptical,0.5557
125577.jpg,Irregular,0.5293
125597.jpg,Spiral,0.4534
125620.jpg,Elliptical,0.751
125664.jpg,Elliptical,0.4475
125667.jpg,Elliptical,0.992
125672.jpg,Irregular,0.957
125675.jpg,Irregular,0.583
125756.jpg,Irregular,0.799
125760.jpg,Irregular,0.461
125787.jpg,Irregular,0.5537
125828.jpg,Spiral,0.626
125860.jpg,Irregular,0.5454
125861.jpg,Irregular,0.562
125912.jpg,Irregular,0.7075
125934.jpg,Irregular,0.853
125973.jpg,Spiral,0.3887
126041.jpg,Spiral,0.9023
126050.jpg,Irregular,0.6895
126088.jpg,Spiral,0.7554
126132.jpg,Irregular,0.805
126143.jpg,Irregular,0.743
126151.jpg,Spiral,0.6514
126153.jpg,Spiral,0.4934
126154.jpg,Elliptical,0.549
126265.jpg,Elliptical,0.562
126382.jpg,Elliptical,0.99
126427.jpg,Elliptical,0.551
126435.jpg,Spiral,0.519
126438.jpg,Elliptical,0.819
126459.jpg,Elliptical,0.9805
126471.jpg,Elliptical,0.6426
126547.jpg,Spiral,0.8374
126549.jpg,Spiral,0.7812
126625.jpg,Elliptical,0.9414
126643.jpg,Elliptical,0.9985
126649.jpg,Elliptical,0.822
126663.jpg,Irregular,0.4717
126696.jpg,Elliptical,0.983
126759.jpg,Spiral,0.4858
126783.jpg,Irregular,0.8677
126800.jpg,Elliptical,0.983
126804.jpg,Elliptical,0.8115
126857.jpg,Irregular,0.6333
126864.jpg,Elliptical,0.938
126885.jpg,Elliptical,0.9937
126923.jpg,Elliptical,0.989
126929.jpg,Irregular,0.6567
127197.jpg,Irregular,0.9097
127354.jpg,Elliptical,0.5127
127360.jpg,Elliptical,0.9966
127368.jpg,Spiral,0.8477
127380.jpg,Irregular,0.597
127418.jpg,Spiral,0.776
127423.jpg,Spiral,0.922
127467.jpg,Elliptical,0.7344
127487.jpg,Spiral,0.5703
127502.jpg,Spiral,0.4783
127517.jpg,Elliptical,0.605
127530.jpg,Spiral,0.5625
127566.jpg,Spiral,0.57
127590.jpg,Elliptical,0.637
127667.jpg,Elliptical,0.991
127730.jpg,Irregular,0.708
127783.jpg,Spiral,0.4788
127793.jpg,Elliptical,0.944
127872.jpg,Elliptical,0.6274
127897.jpg,Spiral,0.6357
127918.jpg,Elliptical,0.9443
127934.jpg,Irregular,0.97
127937.jpg,Irregular,0.5815
127951.jpg,Irregular,0.577
128031.jpg,Spiral,0.629
128069.jpg,Elliptical,0.9985
128079.jpg,Irregular,0.7627
128102.jpg,Spiral,0.9146
128130.jpg,Irregular,0.679
128202.jpg,Spiral,0.4607
128240.jpg,Irregular,0.4548
128284.jpg,Elliptical,0.9463
128285.jpg,Spiral,0.6025
128343.jpg,Spiral,0.4385
128345.jpg,Irregular,0.569
128380.jpg,Irregular,0.5713
